common_name,name,current_resident,dob,birth_type,dod,age,weight,age_at_wt_y
Black Lemur,Harmonia,N,1984-06-27,captive,2018-10-24,34.35,2400,34.34
Black Lemur,Helle,N,1986-05-16,captive,2004-11-23,18.54,2738,2.85
Black Lemur,Heracles,N,1970-12-16,captive,1985-11-13,14.92,2611,13.68
Black Lemur,Hesperus,N,1984-03-22,captive,2018-09-04,34.48,2780,34.48
Black Lemur,Hestia,N,1978-03-16,captive,NA,11.6,2873,11.59
Black Lemur,Hestia-A,N,1988-04-27,captive,1988-04-28,0,43.5,0
Black Lemur,Iphicles,N,1981-03-19,captive,NA,6.27,2156.5,6.11
Black Lemur,Jason,N,1970-04-30,captive,1994-12-27,24.68,2796,16.12
Black Lemur,Juliet,N,1993-03-07,captive,2012-06-27,19.32,2142,10.47
Black Lemur,Latona,N,1984-03-29,captive,2014-12-03,30.7,2355,30.7
Black Lemur,Latona-B,N,1992-03-02,captive,1992-03-02,0,62.2,0
Black Lemur,Louie,N,1987-03-10,captive,2010-02-25,22.98,1800,22.98
Black Lemur,Merope,N,1983-03-22,captive,2005-06-15,22.25,2942,2.64
Black Lemur,Mopsus,N,1984-06-27,captive,2009-08-16,25.15,2361,1.64
Black Lemur,Morpheus,N,1984-03-22,captive,2010-07-08,26.31,2601,6.59
Black Lemur,Narcissus,N,1983-04-03,captive,1988-11-18,5.63,2442,2.61
Black Lemur,Niora,N,1988-03-28,captive,1997-04-04,9.02,2690,5.24
Black Lemur,Pandion,N,1985-06-21,captive,1994-11-22,9.43,3374,4.41
Black Lemur,Pandora Ii,N,1990-03-26,captive,1997-05-14,7.14,1910,7.14
Black Lemur,Pegas,N,1974-07-25,captive,NA,14.78,594,0.23
Black Lemur,Peleus,N,1982-03-20,captive,1993-04-09,11.06,2361,1.5
Black Lemur,Penelope,N,1987-04-14,captive,NA,1.17,2061,1.15
Black Lemur,Phoebus,N,1979-04-22,captive,1982-07-15,3.23,1075,0.39
Black Lemur,Polydorus,N,1986-04-20,captive,2014-06-10,28.16,2220,16.6
Black Lemur,Psyche,N,1981-03-01,captive,NA,2.87,2284,2.53
Black Lemur,Pyrrha,N,1989-03-15,captive,2002-01-09,12.83,2020,8.15
Black Lemur,Selli,N,1977-03-25,captive,1993-12-23,16.76,2906,12.56
Black Lemur,Stilla,N,1976-04-07,captive,1989-10-06,13.51,1371,0.58
Black Lemur,Tantala,N,1988-04-03,captive,2007-11-10,19.62,2760,4.61
Black Lemur,Teucer,N,1989-03-18,captive,2013-11-06,24.65,2100,24.65
Black Lemur,Thetis,N,1984-03-25,captive,2002-04-04,18.04,3033,2.04
Black Lemur,Vesta,N,1982-04-09,captive,1995-09-14,13.44,2039,1.17
Black Lemur,Wendy,N,1974-03-30,captive,NA,8.72,1362,0.55
Black Lemur,Zephyrus,N,1979-04-10,captive,1996-11-29,17.65,1780,17.62
Black Lemur,Zetes,N,1982-04-10,captive,1996-01-25,13.8,2265.5,4.17
Black Lemur,Zeus,N,1978-04-01,captive,1978-09-01,0.42,1081,0.42
Black Lemur,Zeus Ii,N,1981-03-16,captive,1981-05-10,0.15,60,0
Black-And-White Ruffed Lemur,Achernar,N,1985-04-24,captive,2000-05-29,15.11,4004,3.45
Black-And-White Ruffed Lemur,Adonis,N,1975-05-13,captive,1999-12-11,24.6,1552,0.27
Black-And-White Ruffed Lemur,Aladfar,N,1985-04-22,captive,1988-06-17,3.16,787,0.22
Black-And-White Ruffed Lemur,Albert,N,2011-06-02,captive,NA,7.34,3210,2.45
Black-And-White Ruffed Lemur,Alcor,N,1983-05-02,captive,2005-09-25,22.42,4195,2.5
Black-And-White Ruffed Lemur,Aldeberan,N,1980-04-25,captive,1984-03-13,3.88,3019,3.86
Black-And-White Ruffed Lemur,Alhena,N,1987-03-30,captive,1987-11-07,0.61,2524,0.61
Black-And-White Ruffed Lemur,Altair,N,1981-05-03,captive,1984-05-01,3,68,0
Black-And-White Ruffed Lemur,Amalthea,N,1982-04-05,captive,2001-11-02,19.59,3192,3.3
Black-And-White Ruffed Lemur,Amalthea-B,N,1985-04-03,captive,1985-04-03,0,101.5,0
Black-And-White Ruffed Lemur,Amor,N,1981-04-15,captive,2013-05-12,32.1,3160,32.1
Black-And-White Ruffed Lemur,Amor Jr.,Y,2013-05-17,captive,NA,5.73,3740,5.66
Black-And-White Ruffed Lemur,Ananke,N,1982-05-03,captive,1988-07-19,6.22,3125,1.7
Black-And-White Ruffed Lemur,Antares,N,1980-05-02,captive,2011-08-05,31.28,2940,1.72
Black-And-White Ruffed Lemur,Apollo,N,1978-05-08,captive,NA,9.46,2250,0.62
Black-And-White Ruffed Lemur,Aquarius,N,1982-04-25,captive,1995-12-24,13.67,2292,2.59
Black-And-White Ruffed Lemur,Aquila,N,1983-04-26,captive,2011-11-23,28.6,3187,2.62
Black-And-White Ruffed Lemur,Ares,N,1979-04-29,captive,2000-05-31,21.1,3568,7.12
Black-And-White Ruffed Lemur,Astraea,N,1984-04-08,captive,NA,6.35,2569,1.63
Black-And-White Ruffed Lemur,Astro,N,2016-06-08,captive,2018-10-06,2.33,3540,2.31
Black-And-White Ruffed Lemur,Auriga,N,1984-04-27,captive,1995-03-11,10.88,3350,4.51
Black-And-White Ruffed Lemur,Babel,N,1976-05-18,captive,2008-07-19,32.19,2940,32.16
Black-And-White Ruffed Lemur,Bellona,N,1981-05-04,captive,1998-01-29,16.75,2870,0.89
Black-And-White Ruffed Lemur,Betelgeuse Ii,N,1985-04-06,captive,1993-11-27,8.65,4309,3.44
Black-And-White Ruffed Lemur,Bootes,N,1983-04-18,captive,1991-10-22,8.52,3628,8.44
Black-And-White Ruffed Lemur,Bopp,N,1988-05-20,captive,2000-04-28,11.95,2820,11.95
Black-And-White Ruffed Lemur,Bruce,N,1990-04-10,captive,2015-09-15,25.45,4280,9.55
Black-And-White Ruffed Lemur,Callisto,N,1979-04-11,captive,2005-07-21,26.3,3520,14.98
Black-And-White Ruffed Lemur,Canopus,N,1978-04-11,captive,2006-04-20,28.04,3420,28.01
Black-And-White Ruffed Lemur,Capella,N,1983-05-23,captive,2006-11-11,23.49,2588,0.46
Black-And-White Ruffed Lemur,Caph,N,1981-04-21,captive,NA,9.99,4236,7.52
Black-And-White Ruffed Lemur,Centauria,N,1988-05-10,captive,1989-12-24,1.62,2869,1.45
Black-And-White Ruffed Lemur,Centaurus,N,1984-04-18,captive,2018-01-31,33.81,3270,10.13
Black-And-White Ruffed Lemur,Circinus,N,1988-05-10,captive,1993-12-26,5.63,2800,5.63
Black-And-White Ruffed Lemur,Clotho,N,1965-10-01,wild,2001-05-30,35.68,2430,35.68
Black-And-White Ruffed Lemur,Corcaroli,N,1985-04-24,captive,1993-10-06,8.46,652,0.14
Black-And-White Ruffed Lemur,Cosmo,Y,2016-06-08,captive,NA,2.67,2980,2.64
Black-And-White Ruffed Lemur,Cygnus,N,1983-04-26,captive,NA,7.3,4104,2.55
Black-And-White Ruffed Lemur,Davida,N,1984-04-13,captive,2008-09-27,24.47,3240,16.62
Black-And-White Ruffed Lemur,Dawn,N,1991-05-01,captive,NA,7.5,3640,7.49
Black-And-White Ruffed Lemur,Deimos,N,1979-04-28,captive,NA,2.04,279,0.03
Black-And-White Ruffed Lemur,Demeter,N,1981-04-14,captive,2004-02-28,22.89,3440,14.46
Black-And-White Ruffed Lemur,Earth Ii,N,1982-06-30,captive,2001-06-26,19,3964,6.23
Black-And-White Ruffed Lemur,Eartha,N,1970-10-01,wild,1987-02-15,16.39,4885,14.57
Black-And-White Ruffed Lemur,Elara,N,1984-04-12,captive,2013-01-18,28.79,2138,0.84
Black-And-White Ruffed Lemur,Enceladus,N,1980-04-07,captive,NA,2.67,2900,1.77
Black-And-White Ruffed Lemur,Eridanus,N,1984-05-06,captive,2004-02-07,19.77,3064,1.97
Black-And-White Ruffed Lemur,Eros,N,1977-04-28,captive,1984-01-27,6.75,3314,2.19
Black-And-White Ruffed Lemur,Eros Jr,N,2009-05-22,captive,NA,9.72,3165,5.86
Black-And-White Ruffed Lemur,George,N,1992-05-18,captive,2008-02-22,15.78,2830,2.04
Black-And-White Ruffed Lemur,Grace,N,1997-04-06,captive,2014-05-28,17.15,3770,17.12
Black-And-White Ruffed Lemur,Grus,N,1983-04-18,captive,1984-03-16,0.91,2778,0.72
Black-And-White Ruffed Lemur,Hale,N,1993-05-02,captive,2003-09-25,10.41,3310,7.53
Black-And-White Ruffed Lemur,Halley,Y,2013-05-21,captive,NA,5.72,4040,5.7
Black-And-White Ruffed Lemur,Hamal,N,1984-05-08,captive,1984-11-12,0.52,1661,0.51
Black-And-White Ruffed Lemur,Harriot,Y,2018-05-06,captive,NA,0.76,2720,0.73
Black-And-White Ruffed Lemur,Hebe,N,1991-04-03,captive,2014-08-27,23.42,2620,23.41
Black-And-White Ruffed Lemur,Hebe,N,1991-04-03,captive,2014-08-27,23.42,2620,23.41
Black-And-White Ruffed Lemur,Helene,Y,2018-05-06,captive,NA,0.76,2840,0.73
Black-And-White Ruffed Lemur,Helios,N,1978-04-04,captive,1988-04-08,10.02,2679,0.58
Black-And-White Ruffed Lemur,Hermione Ii,Y,2016-02-21,captive,NA,2.96,3260,2.93
Black-And-White Ruffed Lemur,Herschel,Y,2013-05-21,captive,NA,5.72,3400,5.68
Black-And-White Ruffed Lemur,Hyad,N,1984-04-27,captive,2009-01-20,24.75,2479,0.55
Black-And-White Ruffed Lemur,Janus Ii,N,1996-04-14,captive,1998-07-01,2.21,2260,1.42
Black-And-White Ruffed Lemur,John,N,1992-05-18,captive,2015-09-04,23.31,2510,2.04
Black-And-White Ruffed Lemur,Joro,N,1994-05-31,captive,1995-05-18,0.96,2060,0.75
Black-And-White Ruffed Lemur,Jovian,N,1979-04-29,captive,1990-09-21,11.41,3232,10.73
Black-And-White Ruffed Lemur,Junior,N,2005-04-17,captive,NA,13.82,3520,9.51
Black-And-White Ruffed Lemur,Juno,N,1978-05-08,captive,2007-03-17,28.88,2472,0.62
Black-And-White Ruffed Lemur,Jupiter Ii,N,1991-05-01,captive,2000-11-01,9.51,3490,7.49
Black-And-White Ruffed Lemur,Kay,N,1986-04-20,captive,NA,2.53,3192,2.5
Black-And-White Ruffed Lemur,Kent,N,1989-04-03,captive,2015-06-25,26.24,3250,4.99
Black-And-White Ruffed Lemur,Kintana,N,1999-05-07,captive,NA,1.53,3345,1.52
Black-And-White Ruffed Lemur,Kizzy,Y,2005-04-17,captive,NA,13.82,4740,13.79
Black-And-White Ruffed Lemur,Krok,N,2009-05-22,captive,NA,9.72,3220,6.78
Black-And-White Ruffed Lemur,Leda,N,1978-05-08,captive,2014-01-31,35.76,3042,1.16
Black-And-White Ruffed Lemur,Leo,N,1984-04-18,captive,2012-05-18,28.1,3110,1.97
Black-And-White Ruffed Lemur,Leonia,N,1987-05-04,captive,1995-12-24,8.65,3369,2.44
Black-And-White Ruffed Lemur,Letitia,N,1991-04-03,captive,1998-03-01,6.92,2820,6.46
Black-And-White Ruffed Lemur,Libra,N,1981-05-04,captive,2001-08-16,20.3,1791,0.3
Black-And-White Ruffed Lemur,Luna,N,1978-04-04,captive,1989-07-14,11.28,2724,0.58
Black-And-White Ruffed Lemur,Lupus,N,1983-04-08,captive,1983-04-14,0.02,108.7,0
Black-And-White Ruffed Lemur,Magellan,N,2010-05-24,captive,NA,8.71,3780,6.45
Black-And-White Ruffed Lemur,Mars,N,1966-10-01,wild,1992-09-02,25.94,2260,25.94
Black-And-White Ruffed Lemur,Mars,N,1966-10-01,wild,1992-09-02,25.94,2260,25.94
Black-And-White Ruffed Lemur,Martia,N,1979-04-29,captive,1983-11-27,4.58,3474,1.43
Black-And-White Ruffed Lemur,Martial,N,1984-05-08,captive,2016-09-29,32.42,3450,5.93
Black-And-White Ruffed Lemur,Masoandro,N,2000-05-13,captive,NA,0.51,2310,0.5
Black-And-White Ruffed Lemur,Mensa,N,1985-05-03,captive,NA,1.95,2646.5,0.5
Black-And-White Ruffed Lemur,Mercuria,N,1981-04-09,captive,NA,17.9,3568,8.6
Black-And-White Ruffed Lemur,Mercury,N,1966-10-01,wild,2006-02-09,39.39,2900,39.38
Black-And-White Ruffed Lemur,Mercutio,N,1980-05-04,captive,2001-08-16,21.3,2751,1.75
Black-And-White Ruffed Lemur,Mintaka,N,1987-03-30,captive,1999-10-28,12.59,2820,1.22
Black-And-White Ruffed Lemur,Moon,N,1978-04-16,captive,2007-08-18,29.36,5070,16.14
Black-And-White Ruffed Lemur,Moon-A,N,1981-04-22,captive,1981-04-22,0,125,0
Black-And-White Ruffed Lemur,Naissance,N,2010-05-23,captive,2017-09-15,7.32,3660,7.32
Black-And-White Ruffed Lemur,Octans,N,1985-05-03,captive,2014-07-20,29.23,3260,17.64
Black-And-White Ruffed Lemur,Patroclus,N,1980-04-07,captive,NA,8.83,3095,1.77
Black-And-White Ruffed Lemur,Paul,N,1992-05-18,captive,1998-04-16,5.92,2690,2.04
Black-And-White Ruffed Lemur,Pictor,N,1985-05-07,captive,1986-01-11,0.68,2176,0.55
Black-And-White Ruffed Lemur,Pleiad,N,1984-04-27,captive,NA,1.76,3205,1.56
Black-And-White Ruffed Lemur,Pleides,N,1989-04-16,captive,2011-07-07,22.24,4500,8.65
Black-And-White Ruffed Lemur,Polaris,N,1980-05-08,captive,2011-02-08,30.78,3069,1.71
Black-And-White Ruffed Lemur,Poseidon,N,1977-04-28,captive,2000-06-26,23.18,2957,1.52
Black-And-White Ruffed Lemur,Praesepe,N,1986-04-08,captive,2000-07-01,14.24,3560,11.45
Black-And-White Ruffed Lemur,Procyon,N,1981-05-03,captive,1993-05-16,12.04,3010,2.35
Black-And-White Ruffed Lemur,Puppis,N,1984-05-06,captive,1986-09-01,2.32,3232,1.37
Black-And-White Ruffed Lemur,Pyxis,N,1985-05-07,captive,2007-10-28,22.49,2511,0.55
Black-And-White Ruffed Lemur,Ravo,Y,2003-06-05,captive,NA,15.68,3160,15.66
Black-And-White Ruffed Lemur,Rees,Y,2013-05-17,captive,NA,5.73,4060,5.66
Black-And-White Ruffed Lemur,Regulus,N,1982-04-05,captive,2000-04-01,18,2951,3.84
Black-And-White Ruffed Lemur,Rigel,N,1978-04-28,captive,2004-06-20,26.16,3420,15.86
Black-And-White Ruffed Lemur,Ringo,N,1992-05-18,captive,1998-01-22,5.68,2930,2.04
Black-And-White Ruffed Lemur,Rumbles,N,1986-04-11,captive,1989-09-12,3.42,3568,2.53
Black-And-White Ruffed Lemur,Sadr,N,1987-05-04,captive,2010-03-16,22.88,4217,2.95
Black-And-White Ruffed Lemur,Sagitta,N,1983-05-23,captive,1998-06-24,15.1,3482,4.46
Black-And-White Ruffed Lemur,Sarph,N,1993-03-31,captive,NA,4.55,2960,4.47
Black-And-White Ruffed Lemur,Saunders,N,2011-06-02,captive,NA,7.34,3620,2.45
Black-And-White Ruffed Lemur,Scorpius,N,1984-04-12,captive,1994-05-04,10.07,2506,0.65
Black-And-White Ruffed Lemur,Sirius,N,1979-04-29,captive,1987-12-23,8.66,2270,0.58
Black-And-White Ruffed Lemur,Sulaphat,N,1985-04-22,captive,NA,1.98,2697,0.95
Black-And-White Ruffed Lemur,Sun,N,1978-04-16,captive,1978-07-18,0.25,1834,0.25
Black-And-White Ruffed Lemur,Tany,N,2000-05-13,captive,NA,0.51,2320,0.5
Black-And-White Ruffed Lemur,Taurus,N,1983-04-08,captive,NA,2.82,3101,2.75
Black-And-White Ruffed Lemur,Thalia,N,1965-10-01,wild,1993-05-16,27.64,3650,17.95
Black-And-White Ruffed Lemur,Thuban,N,1984-05-08,captive,2001-03-20,16.88,3000,16.87
Black-And-White Ruffed Lemur,Tucana,N,1985-05-03,captive,1999-07-19,14.22,2873.5,0.5
Black-And-White Ruffed Lemur,Typhon,N,1975-05-13,captive,1990-11-15,15.52,4268,13.45
Black-And-White Ruffed Lemur,Umbriel,N,1979-04-28,captive,NA,1.99,271,0.03
Black-And-White Ruffed Lemur,Vega,N,1980-05-08,captive,1995-06-23,15.13,3023,9.47
Black-And-White Ruffed Lemur,Vela,N,1970-10-01,wild,1996-08-12,25.88,3859,16.18
Black-And-White Ruffed Lemur,Virgil,N,1976-05-18,captive,2002-02-06,25.74,3496,3.01
Black-And-White Ruffed Lemur,Virgo,N,1970-10-01,wild,1996-03-06,25.45,3123,16.88
Black-And-White Ruffed Lemur,Virgo-A,N,1983-04-18,captive,1983-04-18,0,92,0
Black-And-White Ruffed Lemur,Virgo-B,N,1984-04-10,captive,1984-04-10,0,108,0
Black-And-White Ruffed Lemur,Vulpecula,N,1985-04-22,captive,1985-07-17,0.24,610,0.22
Black-And-White Ruffed Lemur,Zubenubi,N,1985-04-24,captive,2000-10-20,15.5,3470,12.41
Blue-Eyed Black Lemur,Akroyd,N,2009-03-23,captive,NA,9.88,2300,6.49
Blue-Eyed Black Lemur,Alley,N,2004-03-08,captive,2005-05-25,1.21,1880,1.19
Blue-Eyed Black Lemur,Anthony,N,1998-03-09,captive,NA,15.99,2820,10.59
Blue-Eyed Black Lemur,Bacall,N,1983-10-01,wild,2006-11-07,23.12,2720,13.99
Blue-Eyed Black Lemur,Bacall-A,N,1992-03-18,captive,1992-04-13,0.07,92,0
Blue-Eyed Black Lemur,Bacon,N,2014-03-25,captive,2014-07-23,0.33,860,0.33
Blue-Eyed Black Lemur,Bardot,N,1992-03-13,captive,NA,26.92,2590,4.99
Blue-Eyed Black Lemur,Barrymore,N,1988-05-09,captive,2011-03-25,22.89,1720,22.88
Blue-Eyed Black Lemur,Belushi,N,2009-03-23,captive,NA,9.88,2380,6.49
Blue-Eyed Black Lemur,Bogart,N,1983-10-01,wild,2005-06-02,21.68,2060,21.68
Blue-Eyed Black Lemur,Brando,N,1990-03-30,captive,1996-04-21,6.07,2100,5.52
Blue-Eyed Black Lemur,Buddy,N,2002-01-24,captive,NA,16.86,2220,6.14
Blue-Eyed Black Lemur,Cagney,N,1991-03-30,captive,2012-03-06,20.95,2340,6.49
Blue-Eyed Black Lemur,Cruise,N,1994-03-18,captive,2016-12-22,22.78,2120,9.06
Blue-Eyed Black Lemur,Dern,N,1997-03-30,captive,NA,17.04,1290,0.49
Blue-Eyed Black Lemur,Dicaprio,N,2015-03-26,captive,NA,1.68,1940,1.58
Blue-Eyed Black Lemur,Dietrich,N,1991-05-21,captive,2009-07-10,18.15,2460,11.84
Blue-Eyed Black Lemur,Eugene,N,1999-03-03,captive,NA,19.83,2480,9.61
Blue-Eyed Black Lemur,Foster,N,1996-03-14,captive,2013-12-20,17.78,3160,17.66
Blue-Eyed Black Lemur,Foster-A,N,2001-03-13,captive,2001-03-14,0,79,0
Blue-Eyed Black Lemur,Foster-A,N,2001-03-13,captive,2001-03-14,0,71,0
Blue-Eyed Black Lemur,Foster-B,N,2003-03-19,captive,2003-03-19,0,90,0
Blue-Eyed Black Lemur,Foster-C,N,2005-03-13,captive,2005-03-14,0,68,0
Blue-Eyed Black Lemur,Foster-E,N,2008-03-20,captive,2008-03-20,0,92,0
Blue-Eyed Black Lemur,Garbo,N,1987-11-01,wild,2001-07-13,13.71,2310,13.65
Blue-Eyed Black Lemur,Garfield,N,1987-05-12,captive,2007-03-26,19.88,2220,19.8
Blue-Eyed Black Lemur,Garland,N,1988-04-22,captive,2002-04-24,14.01,2260,13.95
Blue-Eyed Black Lemur,Garland-A,N,1990-04-04,captive,1990-04-04,0,99,0
Blue-Eyed Black Lemur,Gellar,Y,2018-03-14,captive,NA,0.9,1520,0.88
Blue-Eyed Black Lemur,Gibson,N,1995-04-05,captive,2012-06-03,17.18,2100,1.86
Blue-Eyed Black Lemur,Grable,N,1986-07-07,captive,1986-07-16,0.02,64,0.01
Blue-Eyed Black Lemur,Hamill,Y,2018-03-22,captive,NA,0.88,1640,0.84
Blue-Eyed Black Lemur,Harlow,N,1992-04-18,captive,2010-09-15,18.42,1860,18.42
Blue-Eyed Black Lemur,Hemsworth,N,2013-05-29,captive,NA,5.7,2440,4.42
Blue-Eyed Black Lemur,Hendricks,N,2016-03-27,captive,NA,2.87,2120,1.59
Blue-Eyed Black Lemur,Hepburn,N,1983-10-01,wild,2008-02-07,24.37,2520,17.06
Blue-Eyed Black Lemur,Hepburn-A,N,1992-03-05,captive,1992-03-07,0.01,54.5,0.01
Blue-Eyed Black Lemur,Hepburn-B,N,1994-04-14,captive,1994-04-14,0,70.7,0
Blue-Eyed Black Lemur,Hepburn-C,N,1996-03-11,captive,1996-03-13,0.01,44,0.01
Blue-Eyed Black Lemur,Hepburn-D,N,1997-03-12,captive,1997-03-13,0,56,0
Blue-Eyed Black Lemur,Hiddleston,Y,2013-03-24,captive,NA,5.88,2360,5.85
Blue-Eyed Black Lemur,Hopkins,N,1996-03-11,captive,2015-03-21,19.04,2760,18.55
Blue-Eyed Black Lemur,Hopper,N,1995-03-07,captive,1997-07-29,2.4,2290,1.95
Blue-Eyed Black Lemur,Junior,N,2003-06-21,captive,2015-01-10,11.56,2400,4.73
Blue-Eyed Black Lemur,Kidman,Y,1994-03-15,captive,NA,24.92,2580,24.89
Blue-Eyed Black Lemur,Kilmer,N,2000-03-20,captive,NA,18.9,2180,7.85
Blue-Eyed Black Lemur,Kilmer,N,2000-03-20,captive,NA,18.9,2180,7.85
Blue-Eyed Black Lemur,Lamour,N,1989-11-01,wild,2011-08-03,21.77,2110,21.76
Blue-Eyed Black Lemur,Lange,N,1993-03-11,captive,2007-05-07,14.16,2680,13.77
Blue-Eyed Black Lemur,Leigh,Y,2017-05-11,captive,NA,1.74,2120,1.69
Blue-Eyed Black Lemur,Lincoln,Y,2016-03-29,captive,NA,2.86,2060,2.79
